TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r,COKEY,CHKEY
46,69,,14.11,1.58,,2970116,8115343
8,20,,1.41,1.48,,2970116,8198658
69,79,,,,,2970116,8198659
8,43,,4.0,1.45,,2970122,7948728
43,124,,0.0,,,2970122,8032045
0,8,,4.0,1.33,,2970122,8198677
0,30,,4.0,1.4,,2970123,8115364
30,155,,1.41,1.48,,2970123,8198680
119,155,,14.11,1.5,,2970124,7948733
0,18,,4.0,1.55,,2970124,8115366
18,119,,1.41,1.35,,2970124,8198682
0,15,,4.0,1.35,,2970125,8032053
15,48,,4.0,1.35,,2970125,8115370
48,152,,4.0,1.4,,2970125,8198686
48,152,,0.0,1.3,,2970126,7948740
0,28,,4.0,1.15,,2970126,8115373
28,48,,1.41,1.23,,2970126,8198689
13,66,,4.0,1.38,,2970127,7948743
66,152,,141.0,1.58,,2970127,8032060
0,13,,4.0,1.38,,2970127,8198692
0,15,,4.0,1.43,,2970128,8198696
15,30,,14.11,1.63,,2970128,7948747
30,152,,141.0,1.58,,2970128,8032064
10,58,,0.42,1.2,,2970129,8032067
58,152,,4.0,1.28,,2970129,8115384
0,10,,1.41,1.2,,2970129,7948750
36,51,,14.11,1.58,,2970130,7948754
51,152,,42.0,1.6,,2970130,8032071
0,13,,4.0,1.45,,2970130,8115387
13,36,,4.0,1.53,,2970130,8198703
20,58,,4.0,1.38,,2970131,7948757
58,152,,1.41,1.58,,2970131,8032074
0,20,,4.0,1.3,,2970131,8198706
61,152,,4.0,1.53,,2970132,7948761
0,10,,4.0,1.48,,2970132,8032077
10,30,,1.41,1.48,,2970132,8115394
30,61,,4.0,1.48,,2970132,8198710
8,38,,14.11,1.55,,2970133,7948764
38,152,,141.0,1.65,,2970133,8032081
0,8,,4.0,1.4,,2970133,8198713
0,15,,4.0,1.35,,2970135,7948771
76,102,,,,,2970135,7948772
15,48,,1.41,1.35,,2970135,8032088
48,66,,4.0,1.43,,2970135,8115405
66,76,,,,,2970135,8198721
56,99,,0.0,1.3,,2970136,7948776
99,152,,,,,2970136,8032093
0,25,,4.0,1.35,,2970136,8115409
25,56,,0.0,1.3,,2970136,8198725
0,18,,4.0,1.45,,2970138,7948781
18,64,,4.0,1.4,,2970138,8032098
64,79,,,,,2970138,8115415
79,104,,,,,2970138,8198731
104,152,,14.11,1.5,,2970139,7948785
0,28,,4.0,1.45,,2970139,8115418
28,104,,4.0,1.38,,2970139,8198734
48,66,,4.0,1.43,,2970140,7948788
66,76,,,,,2970140,8032105
0,15,,4.0,1.35,,2970140,8115421
76,102,,,,,2970140,8115422
15,48,,1.41,1.35,,2970140,8198737
15,38,,1.41,1.5,,2970149,7948815
38,53,,4.0,1.55,,2970149,8032132
53,102,,,,,2970149,8115449
0,15,,4.0,1.55,,2970149,8198764
102,152,,14.11,1.68,,2970149,8198765
10,25,,0.42,1.35,,2970150,7948819
25,38,,4.0,1.55,,2970150,8032136
38,79,,,,,2970150,8115453
0,10,,4.0,1.55,,2970150,8198768
79,89,,,,,2970150,8198769
25,152,,,,,2970151,7948824
0,25,,4.0,1.35,,2970151,8198773
20,122,,14.11,1.35,,2970152,7948827
122,152,,42.34,1.65,,2970152,8032144
0,20,,4.0,1.6,,2970152,8198776
0,10,10.0,4.0,1.55,,2970154,7948832
69,114,45.0,,,,2970154,7948833
10,36,16.0,4.0,1.55,,2970154,8032149
114,152,38.0,141.0,1.65,,2970154,8032150
36,53,17.0,4.0,1.55,,2970154,8115466
53,69,16.0,4.0,1.55,,2970154,8198782
8,20,,1.41,1.4,,2970155,7948836
20,61,,4.0,1.5,,2970155,8032153
61,71,,,,,2970155,8115470
0,8,,4.0,1.3,,2970155,8198785
56,81,,,,,2970156,7948840
81,91,,,,,2970156,8032157
0,23,,14.11,1.65,,2970156,8115473
23,56,,14.11,1.75,,2970156,8198789
0,33,,4.0,1.3,,2970157,8032160
33,160,,1.41,1.45,,2970157,8115477
160,170,,,,,2970157,8198793
28,102,,1.41,1.6,,2970158,7948847
102,155,,4.0,1.68,,2970158,8032164
0,15,,4.0,0.83,,2970158,8115480
15,28,,4.0,0.83,,2970158,8198796
0,10,,4.0,1.33,,2970159,8198800
10,107,,1.41,1.45,,2970159,7948851
107,152,,14.11,1.55,,2970159,8032168
0,10,,14.11,1.58,,2970160,7948854
10,30,,4.0,1.65,,2970160,8032171
30,41,,,,,2970160,8115488
56,84,,4.0,1.35,,2970161,7948857
84,94,,,,,2970161,8032174
0,18,,4.0,1.35,,2970161,8115490
18,56,,1.41,1.3,,2970161,8198806
0,10,,4.0,1.48,,2970162,7948861
10,48,,4.0,1.55,,2970162,8032178
48,58,,,,,2970162,8115495
102,117,,1.41,1.4,,2970163,7948866
0,13,,4.0,1.3,,2970163,8032182
117,163,,42.34,1.75,,2970163,8032183
13,46,,4.0,1.4,,2970163,8115499
46,102,,0.0,1.35,,2970163,8198815
0,36,,4.0,1.55,,2970164,8115503
36,183,,1.41,1.5,,2970164,8198819
23,38,,0.42,1.35,,2970165,7948874
38,66,,1.41,1.5,,2970165,8032191
66,119,,,,,2970165,8115508
0,23,,4.0,1.55,,2970165,8198823
119,130,,,,,2970165,8198824
