textureName,CHtxtgrpKEY,CHTXTKEY,CHKEY,AvaWaterCon,MUKEY,ComponentPercent,MajorComponent,COKEY,TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r
Silt loam,15580930,15532536,8237462,0,675768,2,No ,2982192,74,89,,4.2343,1.35,
Sand,15432759,15494698,8237465,0,675769,25,No ,3059912,94,152,,42.343,1.43,
Loamy sand,15580931,15683880,8237465,0,675769,25,No ,3059912,94,152,,42.343,1.43,
Silt loam,15432774,15948733,8237498,0,675780,22,No ,2982203,94,152,,0.4234,1.65,
Silty clay loam,15284602,15456886,8237498,0,675780,22,No ,2982203,94,152,,0.4234,1.65,
Silty clay loam,15432775,15494702,8237500,0,675780,4,No ,3059923,61,152,,4.2343,1.33,
Silt loam,15284603,15608230,8237500,0,675780,4,No ,3059923,61,152,,4.2343,1.33,
Silt loam,15433894,15797675,8240122,0,661634,10,Yes,3008909,0,56,,4.0,1.24,
Silt loam,15433895,15949019,8240126,0,661638,7,Yes,3060723,0,18,,4.0,1.4,
Loam,15433896,15494988,8240130,0,661642,8,Yes,3034819,8,23,,4.23,1.3,
Silt loam,15433909,15646335,8240165,0,661695,5,Yes,3060737,5,152,,4.0,1.35,
Clay loam,15433910,15797679,8240168,0,661706,14,Yes,3060738,13,36,,4.0,1.48,
Loam,15285738,15608520,8240168,0,661706,14,Yes,3060738,13,36,,4.0,1.48,
Silty clay loam,15582082,15684174,8240168,0,661706,14,Yes,3060738,13,36,,4.0,1.48,
Silt loam,15433911,15949023,8240171,0,661706,2,Yes,3034833,20,97,,4.0,1.25,
Very fine sandy loam,15433912,15494992,8240173,0,661708,8,Yes,3008927,20,165,,4.0,1.53,
Silt loam,15730254,16024711,8240173,0,661708,8,Yes,3008927,20,165,,4.0,1.53,
Loam,15285740,15911208,8240173,0,661708,8,Yes,3008927,20,165,,4.0,1.53,
Loam,15433913,15646336,8240175,0,661709,2,Yes,2983021,18,56,,4.0,1.35,
Fine sandy loam,15730255,15570680,8240175,0,661709,2,Yes,2983021,18,56,,4.0,1.35,
Silt loam,15285741,15457177,8240175,0,661709,2,Yes,2983021,18,56,,4.0,1.35,
Sand,15433926,15797683,8240211,2,661726,8,Yes,3060751,69,152,,141.14,1.53,
Sand,15285754,15608524,8240211,2,661726,8,Yes,3060751,69,152,,141.14,1.53,
Silty clay loam,15433927,15949027,8240213,4,661727,3,Yes,3008939,20,43,,1.41,1.35,
Silt loam,15582099,15986866,8240213,4,661727,3,Yes,3008939,20,43,,1.41,1.35,
