ComponentPercent,MajorComponent,MUKEY,COKEY
16,Yes,661704,3041507
11,Yes,661704,3028554
2,Yes,661704,2989694
14,Yes,661705,2970335
8,Yes,661705,3054531
17,Yes,661705,3067484
5,Yes,661705,3035102
56,Yes,661705,3009195
2,Yes,661706,3034833
23,Yes,661706,2976542
14,Yes,661706,3060738
4,Yes,661706,3054262
5,Yes,661706,3041309
4,Yes,661706,3028356
2,Yes,661706,2995973
4,Yes,661706,3008926
7,Yes,661706,3021879
2,Yes,661706,2989496
7,Yes,661706,3002449
4,Yes,661706,2970066
6,Yes,661706,2983019
4,Yes,661706,3067215
4,Yes,661706,3047785
8,Yes,661706,3015402
46,Yes,661707,2976543
40,Yes,661707,3060739
4,Yes,661707,3002450
4,Yes,661707,3021880
6,Yes,661707,3015403
11,Yes,661708,3028357
19,Yes,661708,3047786
35,Yes,661708,2983020
6,Yes,661708,3067216
21,Yes,661708,3041310
8,Yes,661708,3008927
35,Yes,661709,2970067
12,Yes,661709,3054263
8,Yes,661709,2995974
5,Yes,661709,3060740
8,Yes,661709,2976544
9,Yes,661709,3034834
4,Yes,661709,3002451
4,Yes,661709,3015404
2,Yes,661709,2983021
9,Yes,661709,2989497
4,Yes,661709,3021881
5,Yes,661710,2989498
13,Yes,661710,2970068
12,Yes,661710,3067217
6,Yes,661710,3054264
17,Yes,661710,3041311
17,Yes,661710,3008928
8,Yes,661710,3028358
5,Yes,661710,3034835
17,Yes,661710,3047787
5,Yes,661711,2976546
7,Yes,661711,2989499
36,Yes,661711,3008929
15,Yes,661711,3034836
17,Yes,661711,2970069
5,Yes,661711,2995976
4,Yes,661711,3060742
11,Yes,661711,3054265
11,Yes,661712,3002453
29,Yes,661712,3015406
4,Yes,661712,3008930
11,Yes,661712,3021883
9,Yes,661712,3041313
8,Yes,661712,3047789
7,Yes,661712,3028360
2,Yes,661712,3054266
4,Yes,661712,3067219
4,Yes,661712,2970070
11,Yes,661712,2983023
31,Yes,661713,3034837
10,Yes,661713,3060743
14,Yes,661713,2976547
26,Yes,661713,2989500
2,Yes,661713,3015407
17,Yes,661713,2995977
1,Yes,661714,3047790
2,Yes,661714,3028361
1,Yes,661714,3008931
3,Yes,661714,3041314
3,Yes,661714,2983024
64,Yes,661714,3021884
1,Yes,661714,3067220
25,Yes,661714,3002454
28,Yes,661715,2970071
22,Yes,661715,3054267
19,Yes,661715,2989501
6,Yes,661715,3060744
5,Yes,661715,3015408
7,Yes,661715,2995978
7,Yes,661715,3034838
6,Yes,661715,2976548
1,Yes,661716,2970072
5,Yes,661716,3002455
8,Yes,661716,3028362
9,Yes,661716,3041315
16,Yes,661716,3008932
2,Yes,661716,3067221
1,Yes,661716,3054268
26,Yes,661716,3021885
10,Yes,661716,3047791
21,Yes,661716,2983025
1,Yes,661716,3034839
8,Yes,661717,3060745
17,Yes,661717,2976549
31,Yes,661717,2989502
8,Yes,661717,3021886
16,Yes,661717,3015409
20,Yes,661717,2995979
1,Yes,661718,3041316
88,Yes,661718,3002456
3,Yes,661718,3047792
8,Yes,661718,2983026
20,Yes,661719,3028363
13,Yes,661719,3054269
3,Yes,661719,2970073
7,Yes,661719,3067222
3,Yes,661719,3060746
22,Yes,661719,3008933
3,Yes,661719,2976550
11,Yes,661719,2989503
3,Yes,661719,3015410
2,Yes,661719,2983027
3,Yes,661719,2995980
6,Yes,661719,3034840
2,Yes,661719,3021887
2,Yes,661719,3002457
5,Yes,661720,2995981
11,Yes,661720,3008934
14,Yes,661720,3041317
12,Yes,661720,3028364
2,Yes,661720,3060747
4,Yes,661720,2976551
2,Yes,661720,3015411
2,Yes,661720,3021888
7,Yes,661720,3034841
10,Yes,661720,3067223
7,Yes,661720,3047793
6,Yes,661720,2989504
10,Yes,661720,2970074
8,Yes,661720,3054270
16,Yes,661721,2983028
5,Yes,661721,3034842
6,Yes,661721,3067224
5,Yes,661721,3047794
4,Yes,661721,2989505
16,Yes,661721,3002458
6,Yes,661721,2970075
6,Yes,661721,3054271
2,Yes,661721,3028365
2,Yes,661721,2995982
7,Yes,661721,3008935
19,Yes,661721,3041318
6,Yes,661721,3035135
7,Yes,661722,3060749
3,Yes,661722,3015413
46,Yes,661722,3028366
9,Yes,661722,2995983
3,Yes,661722,2976553
11,Yes,661722,3054272
13,Yes,661722,3008936
5,No ,661722,3034843
3,Yes,661722,3002460
2,Yes,661723,3028367
34,Yes,661723,3041320
2,Yes,661723,3067226
56,Yes,661723,2983030
1,Yes,661723,3054273
