"Loamy sand"||"57202642"|"58214095"
"Clay loam"||"57202647"|"58214705"
"Loam"||"57202649"|"58214096"
"Loamy sand"||"57202656"|"58214431"
"Loam"||"57202658"|"58214591"
"Clay loam"||"57202663"|"58214592"
"Loamy sand"||"57202665"|"58214593"
"Loamy sand"||"57202667"|"58214813"
"Clay loam"||"57202672"|"58214594"
"Clay loam"||"57202674"|"58214595"
"Loam"||"57202681"|"58214713"
"Loam"||"57202683"|"58214817"
"Loamy sand"||"57202688"|"58214714"
"Silty clay"||"57202690"|"58214715"
"Silty clay"||"57202692"|"58214915"
"Silty clay loam"||"57202697"|"58214103"
"Silt loam"||"57202699"|"58214267"
"Silty clay loam"||"57202706"|"58214821"
"Silty clay"||"57202708"|"58214823"
"Silty clay loam"||"57202715"|"58213931"
"Silty clay loam"||"57202717"|"58214105"
"Silt loam"||"57202722"|"58213933"
"Silty clay loam"||"57202724"|"58214718"
"Silty clay"||"57202731"|"58214108"
"Silty clay loam"||"57202733"|"58214110"
"Silty clay"||"57202740"|"58214994"
"Silty clay loam"||"57202742"|"58214659"
|"Indurated"|"57202747"|"58214439"
"Silty clay loam"||"57202749"|"58214906"
"Fine sandy loam"||"57202756"|"58214653"
"Silty clay loam"||"57202758"|"58214981"
"Silt loam"||"57202765"|"58213941"
"Loam"||"57202767"|"58213942"
"Loam"||"57202772"|"58214920"
"Loam"||"57202774"|"58214922"
"Loam"||"57202781"|"58213940"
"Loam"||"57202783"|"58214113"
"Silty clay loam"||"57202790"|"58215022"
"Silty clay"||"57202792"|"58214773"
"Silty clay"||"57202797"|"58214667"
"Silty clay loam"||"57202799"|"58214668"
"Silty clay loam"||"57202806"|"58214768"
"Sandy loam"||"57202808"|"58215015"
"Silty clay"||"57202815"|"58214117"
"Silty clay loam"||"57202817"|"58214119"
"Silty clay loam"||"57202822"|"58214676"
"Sandy loam"||"57202824"|"58214779"
"Clay loam"||"57202831"|"58214871"
"Loam"||"57202833"|"58214284"
"Fine sandy loam"||"57202840"|"58214285"
"Clay loam"||"57202842"|"58214286"
"Clay loam"||"57202847"|"58214287"
"Clay loam"||"57202849"|"58214289"
"Clay loam"||"57202856"|"58214449"
"Clay loam"||"57202858"|"58214451"
"Loam"||"57202865"|"58214291"
"Silty clay loam"||"57202867"|"58214292"
"Loam"||"57202872"|"58214293"
"Loam"||"57202874"|"58214294"
"Loam"||"57202881"|"58214459"
"Silt loam"||"57202883"|"58214297"
"Silty clay loam"||"57202890"|"58214296"
"Silt loam"||"57202892"|"58214456"
"Silty clay loam"||"57202897"|"58214299"
"Loam"||"57202899"|"58214300"
"Silty clay loam"||"57202901"|"58214460"
"Loam"||"57202906"|"58214607"
"Loam"||"57202908"|"58214825"
"Silty clay loam"||"57202915"|"58214760"
"Silty clay loam"||"57202917"|"58214850"
"Sandy loam"||"57202922"|"58213966"
